duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,root_shell,label
469,2,0,3,1404,3125,1,50,46,83,2,1,3
402,0,0,3,1692,1918,1,76,20,22,0,1,2
736,2,0,0,3030,9,0,39,34,53,0,1,4
999,1,3,0,2202,532,0,80,12,80,4,1,1
862,0,0,1,345,4427,1,47,89,51,0,1,4
919,1,4,2,4546,1565,1,66,1,14,2,0,2
660,0,3,1,39,2428,0,34,18,5,4,1,4
471,2,1,2,3322,1310,1,40,57,31,0,1,2
787,2,4,1,4628,2978,0,62,62,24,1,1,3
8,1,4,0,2000,4529,0,54,23,58,3,0,2
892,0,2,3,521,4291,0,94,30,77,4,0,4
295,2,2,0,4473,4546,0,65,33,74,2,1,3
158,1,3,3,955,2921,0,78,45,23,0,1,0
425,2,2,0,2107,4775,0,91,67,84,1,0,1
224,1,3,0,2096,794,1,64,76,92,3,1,1
396,2,4,1,3303,550,0,87,27,48,4,0,4
571,2,4,2,773,158,0,92,62,85,1,1,1
687,1,0,3,2437,1707,1,63,21,11,1,1,3
400,2,0,2,463,4261,0,18,16,84,0,1,4
402,0,4,1,2412,3103,0,53,58,7,2,1,3
121,0,0,2,3510,921,0,23,19,92,1,1,2
774,2,0,2,542,4992,1,96,74,20,2,0,4
911,2,0,3,1777,4237,0,82,30,53,3,1,4
527,2,1,3,2750,1137,1,33,97,27,3,0,4
568,1,3,3,2173,4588,1,39,34,13,3,1,0
452,0,1,2,2642,4972,1,28,88,90,1,0,3
957,2,1,1,876,2847,0,6,5,84,0,1,1
512,2,3,0,995,4655,1,14,55,74,0,1,2
161,1,1,3,2773,737,1,90,76,19,0,0,2
280,0,1,2,1780,3156,0,56,41,52,2,1,4
791,2,2,2,3339,4564,1,87,89,81,2,0,2
885,1,0,1,1530,3523,1,5,8,76,3,1,4
244,1,2,1,142,4228,1,90,35,8,4,0,0
896,2,3,2,1949,3257,0,36,15,54,4,0,1
635,1,2,2,3487,3587,0,19,49,39,3,0,3
123,0,3,1,4126,3919,1,83,7,57,1,0,4
537,2,3,2,785,4025,0,37,36,8,1,1,1
282,1,2,0,2313,3356,0,4,90,30,4,1,4
565,1,4,1,3160,1087,0,49,59,2,3,0,0
462,0,4,3,1092,2058,1,22,42,62,0,1,0
168,1,1,2,3244,1686,1,42,38,13,2,1,0
881,0,1,0,2577,573,1,84,72,1,2,0,2
540,2,1,1,2432,2625,0,98,98,54,0,1,1
615,1,3,0,4619,2296,0,78,60,34,4,1,0
285,1,1,2,1091,4230,0,80,14,9,3,1,1
910,0,3,0,361,4505,0,64,12,77,2,0,3
723,0,1,2,3867,4995,0,88,9,46,0,1,2
594,0,1,3,296,1204,1,67,66,37,0,0,0
924,0,1,0,529,1389,1,59,80,50,4,1,0
460,0,3,0,2858,4955,1,73,20,21,4,1,0
991,2,3,2,96,1174,1,71,13,41,1,0,0
611,1,4,0,3771,2466,1,72,24,48,1,1,0
554,1,1,2,996,2753,1,77,53,63,2,0,1
626,0,4,1,4789,1715,0,92,49,1,0,1,4
547,2,3,0,4367,1319,1,22,27,35,3,0,1
23,1,0,1,1369,4692,1,95,20,54,4,1,1
980,0,4,2,3194,1333,0,55,63,18,4,0,2
498,1,3,3,2771,3587,1,49,40,43,0,1,1
880,2,1,3,1686,3458,1,91,40,28,1,0,3
749,0,3,3,2139,1029,0,66,59,34,0,0,1
763,1,4,3,4520,2756,0,93,98,32,4,1,0
802,0,4,1,4449,1267,0,52,60,11,0,0,2
570,1,2,0,24,4952,0,94,20,53,3,1,0
515,1,2,0,521,4939,0,16,40,37,3,0,0
780,1,4,1,4540,1900,0,53,23,90,0,1,0
512,0,1,1,3236,3983,1,97,21,99,0,0,2
58,2,4,0,2488,2259,0,13,86,65,1,1,3
268,2,1,3,4607,2851,0,6,36,92,4,1,0
842,2,0,1,1820,3300,1,3,53,67,0,1,3
903,0,4,3,4896,407,0,37,10,31,3,1,4
150,2,4,1,3553,502,1,17,84,15,4,1,2
433,1,3,1,4778,4756,0,23,29,13,0,0,2
239,0,4,0,364,1587,0,37,17,88,4,0,0
44,0,2,0,4723,668,1,92,41,7,0,0,1
847,0,4,2,611,554,1,3,47,77,2,0,2
273,0,1,2,1492,3149,1,38,14,12,2,1,4
432,2,2,0,4061,429,1,22,32,67,1,0,4
722,2,1,1,1028,4313,0,1,50,91,3,0,0
383,1,1,3,2758,2339,1,45,25,31,1,0,0
110,0,2,1,503,2978,0,37,13,2,4,1,0
48,1,1,1,4765,2125,0,48,22,12,1,0,0
724,0,0,1,4395,1619,1,89,77,94,4,0,3
920,2,4,1,1977,2469,0,74,43,7,4,0,2
540,0,2,0,4927,2559,1,21,3,77,0,1,4
157,2,1,3,888,2613,0,67,28,25,1,1,0
920,1,1,0,3583,4722,0,17,91,28,4,1,0
88,1,1,3,2432,3066,1,9,46,46,3,1,1
513,2,3,1,917,3106,0,2,57,97,3,0,0
781,0,2,1,869,753,1,14,70,66,4,0,1
227,1,0,2,2016,4493,0,64,10,99,4,1,1
508,2,1,2,3039,471,1,57,22,57,2,0,0
888,1,1,1,2195,2075,1,11,93,33,0,1,1
213,2,0,1,183,499,0,97,1,20,2,1,2
654,0,3,3,1732,79,1,33,53,65,1,1,2
959,2,4,2,1438,4816,0,44,88,20,0,0,1
726,0,4,2,3902,2024,1,50,10,61,0,1,3
868,2,2,1,4784,241,0,34,4,0,1,1,1
318,0,4,0,1377,1653,1,9,83,73,2,1,4
990,0,3,3,1458,3230,1,47,63,17,1,0,3
111,1,3,3,2819,114,0,80,50,56,4,0,2
244,0,0,2,1774,877,1,78,28,94,2,1,3
479,2,0,1,1202,1631,0,1,31,59,3,1,0
759,2,2,2,4567,1069,0,82,8,97,1,0,2
412,1,3,0,2393,1400,1,82,36,15,2,1,3
619,1,1,2,87,3841,0,72,67,98,0,0,0
357,1,2,3,867,2020,1,12,33,40,0,1,2
426,0,4,0,2429,2126,1,21,66,42,2,0,0
636,2,0,3,3720,2914,1,5,56,72,0,0,2
743,0,4,2,1470,366,0,46,7,83,3,0,3
239,2,3,1,2484,3103,1,37,28,98,3,0,2
591,2,1,1,2749,1518,0,16,73,36,0,0,2
260,1,0,1,4142,4081,1,62,99,15,0,0,4
894,1,3,3,4206,1530,1,46,40,46,2,0,0
957,0,2,2,4046,2550,1,75,40,43,0,1,2
162,0,4,3,2536,3296,1,59,7,75,3,0,2
450,1,0,2,4844,137,0,29,99,93,1,1,1
896,1,2,1,12,1731,1,54,65,35,1,0,2
959,1,3,0,4960,4479,1,88,18,40,4,0,0
1,2,1,3,1164,4773,1,75,43,42,1,0,1
181,0,3,1,2235,2020,1,93,11,82,3,0,3
641,2,3,1,1607,2566,0,16,67,93,4,1,1
403,2,4,0,3351,4172,1,36,42,38,0,0,2
842,2,3,0,1321,3436,1,6,19,36,4,1,1
660,1,4,2,2674,515,1,14,11,71,0,1,4
17,1,0,1,4166,1284,1,64,72,31,0,1,0
867,1,4,0,1890,3252,1,28,60,29,3,1,0
540,2,1,3,3072,3386,1,24,59,40,2,0,1
799,0,4,3,4115,2071,0,51,47,30,0,1,4
702,0,3,3,2290,4386,1,33,63,38,3,1,1
201,2,2,2,4442,239,1,45,22,50,0,1,4
555,2,0,3,1604,1264,0,4,5,22,1,0,4
801,1,3,0,2851,1165,1,40,50,14,0,0,2
599,0,3,1,3515,2465,0,11,78,19,4,1,0
203,0,3,0,2184,3120,0,19,65,25,1,0,1
540,0,1,3,1847,2844,0,4,36,0,3,0,2
275,1,0,2,3531,2206,0,15,77,76,1,0,3
990,2,0,2,3705,235,1,16,86,7,4,0,1
326,1,4,1,4083,2065,1,31,87,5,1,0,0
601,0,3,0,1702,3568,0,79,90,4,2,0,0
226,1,2,0,4805,4072,1,73,7,51,1,0,3
548,0,4,1,2440,228,0,40,9,13,4,1,2
800,0,2,2,3896,3963,0,59,74,14,4,0,4
513,1,0,0,2776,2902,0,6,33,86,1,1,3
983,2,2,1,4315,1318,0,69,40,22,4,0,0
214,0,2,2,2081,613,0,52,22,4,4,1,4
429,0,1,3,160,4674,0,87,91,49,3,0,3
86,2,2,0,1900,593,0,49,74,65,1,0,2
40,2,1,2,3535,4270,0,40,85,9,2,1,3
131,0,0,1,1691,4046,0,82,30,27,2,1,2
947,0,3,0,22,4597,0,9,33,18,1,0,3
501,1,4,1,3268,1832,1,83,6,33,2,1,0
23,0,4,0,1380,3911,1,92,36,58,0,0,1
512,1,3,1,500,1783,0,21,1,25,2,0,1
796,1,1,2,4291,2082,0,2,74,97,2,0,0
56,0,1,3,1136,3468,0,88,23,60,1,0,2
344,0,0,3,3260,863,1,56,60,95,4,1,0
187,0,4,1,1836,3333,0,3,56,39,0,1,4
301,2,1,1,4266,3273,0,32,34,22,1,0,2
920,0,4,0,1367,4219,0,77,68,86,3,1,1
99,0,0,1,1000,3339,0,85,42,93,3,1,1
800,1,1,0,363,4134,1,85,72,88,0,1,4
152,0,3,3,4973,177,0,78,19,80,4,1,3
869,1,1,1,4621,4812,1,72,24,90,2,0,2
220,1,3,1,2579,877,1,91,15,53,0,1,2
589,0,4,3,905,846,1,51,81,23,3,1,0
299,1,3,3,648,26,1,55,35,36,3,0,0
484,1,0,1,4577,4724,1,49,52,32,2,1,1
394,2,2,0,3023,1443,0,35,29,9,0,1,2
156,2,1,1,3370,1565,0,71,18,66,4,1,2
134,0,1,0,4529,3664,0,12,82,88,1,0,4
423,2,1,2,2511,1954,1,51,17,38,0,1,3
759,2,2,0,288,1868,1,71,42,15,2,0,0
925,0,0,2,3993,634,0,11,62,27,3,1,1
92,0,3,3,242,2904,1,64,76,14,1,0,1
567,0,3,1,3569,4539,0,40,18,53,3,0,0
195,1,2,1,2136,1713,1,34,88,83,1,0,1
737,0,3,0,742,4318,0,1,79,16,3,1,2
873,1,0,3,2959,1259,1,77,60,10,1,1,2
317,1,3,0,245,1749,0,58,82,61,3,1,2
915,2,2,1,909,2125,1,4,64,6,4,1,1
627,2,0,1,4082,1241,1,16,35,63,0,1,4
520,2,3,1,2961,1562,1,49,48,50,4,0,4
670,0,4,0,3141,4513,0,36,32,39,4,0,0
620,2,1,2,22,4052,1,86,24,20,3,1,4
299,0,0,0,1083,3291,0,56,55,38,2,1,0
328,2,0,3,715,590,1,48,46,29,4,0,4
582,1,0,2,1336,3080,1,0,85,84,0,1,0
113,1,4,0,987,1426,1,82,13,89,2,1,4
365,0,0,2,188,2335,1,14,60,4,3,1,4
803,2,0,3,1310,3637,1,13,39,94,0,0,3
817,0,3,0,766,3381,1,77,13,73,2,1,4
464,1,3,2,2286,3845,0,82,18,55,1,0,3
532,1,4,3,4197,2923,0,66,29,85,1,1,1
385,2,2,2,4431,518,0,72,49,80,0,1,1
